id,city,neighborhood,property_name,property_type,bedrooms,bathrooms,area_sqft,rent_per_month,furnishing,floor,total_floors,parking,amenities,listing_url,source,contact,description,verified
1,Mumbai,Bandra West,Seaside Residency 2BHK,Apartment,2,2,950,78000,Semi-Furnished,8,12,Yes,"Gym,Swimming Pool,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/bandra-west-mumbai/prdet130960695,MagicBricks,+91-9820011234,Beautiful 2BHK with sea view near Bandstand promenade. Walking distance to Carter Road.,Yes
2,Mumbai,Bandra West,Classic 1BHK near Hill Road,Apartment,1,1,550,46000,Furnished,4,7,No,"Security,Power Backup,Lift",https://www.nobroker.in/property/rent/apartment-1bhk-bandra-west-mumbai,NoBroker,+91-9820044567,Cozy 1BHK near Hill Road market and Linking Road. Easy access to Bandra station.,Yes
3,Mumbai,Bandra West,Luxe 3BHK Sea View,Apartment,3,3,1600,130000,Fully Furnished,12,18,Yes,"Gym,Pool,Club House,Valet Parking,Security",https://www.99acres.com/residential-property-for-rent-in-bandra-west-prdet166,99acres,+91-9820078901,Stunning 3BHK with panoramic sea views. Modern amenities, 5 min from Bandra-Kurla Complex.,Yes
4,Mumbai,Andheri West,Modern 2BHK Millennium Tower,Apartment,2,2,900,49000,Semi-Furnished,6,14,Yes,"Gym,Security,Power Backup,Lift",https://www.magicbricks.com/property-for-rent/residential-apartments/andheri-west-mumbai/prdet229031,MagicBricks,+91-9821012345,2BHK in Millennium Tower, 10 min from Andheri Metro. Near DN Nagar and SV Road.,Yes
5,Mumbai,Andheri West,Budget 1BHK Lokhandwala,Apartment,1,1,480,28000,Unfurnished,2,5,No,"Security,Lift",https://www.nobroker.in/property/rent/1bhk-andheri-west-lokhandwala-mumbai,NoBroker,+91-9821045678,Affordable 1BHK near Lokhandwala Market. Well connected to Western Express Highway.,Yes
6,Mumbai,Powai,IIT Road 2BHK Lake View,Apartment,2,2,1100,44000,Semi-Furnished,9,15,Yes,"Gym,Swimming Pool,Children Play Area,Security",https://www.magicbricks.com/property-for-rent/residential-apartments/powai-mumbai/prdet341022,MagicBricks,+91-9867012345,Spacious 2BHK with Powai Lake view. Near Hiranandani Gardens and Galleria Mall.,Yes
7,Mumbai,Powai,Hiranandani 3BHK Premium,Apartment,3,3,1550,72000,Fully Furnished,11,21,Yes,"Gym,Pool,Tennis Court,Concierge,Security",https://www.99acres.com/property-for-rent-in-hiranandani-powai-mumbai,99acres,+91-9867034567,Premium 3BHK in Hiranandani complex. School and hospital within campus.,Yes
8,Mumbai,Juhu,Juhu Beach 3BHK,Apartment,3,2,1400,125000,Semi-Furnished,5,8,Yes,"Gym,Security,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/juhu-mumbai/prdet441055,MagicBricks,+91-9821098765,Walk to Juhu Beach. Near Juhu Circle and JVPD Scheme. Premium residential area.,Yes
9,Mumbai,Thane West,Affordable 2BHK Ghodbunder,Apartment,2,2,950,27000,Semi-Furnished,4,12,Yes,"Gym,Security,Power Backup,Club House",https://www.nobroker.in/property/rent/2bhk-thane-west-ghodbunder-road,NoBroker,+91-9867056789,Well-maintained 2BHK near Eastern Express Highway. Multiple schools and hospitals nearby.,Yes
10,Mumbai,Navi Mumbai Vashi,Sector 9 2BHK,Apartment,2,2,1000,24000,Semi-Furnished,3,7,Yes,"Security,Lift,Power Backup",https://www.magicbricks.com/property-for-rent/residential-apartments/vashi-navi-mumbai/prdet551033,MagicBricks,+91-9820111111,Planned city living. Near Vashi Railway Station and Inorbit Mall. Clean area.,Yes
